benchmark
99 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
100 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
101 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
102 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
103 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
104 {'product': [0, 13, 3], 'productlist': [1, 1, 1]}
105 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
106 {'product': [0, 2, 4], 'productlist': [0, 1, 1]}
107 {'product': [0, 16, 4], 'productlist': [1, 1, 1]}
108 {'product': [0, 2, 4], 'productlist': [0, 1, 1]}
109 {'product': [0, 6, 4], 'productlist': [0, 1, 1]}
110 {'product': [0, 16, 4], 'productlist': [1, 1, 1]}
111 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
112 {'product': [0, 18, 5], 'productlist': [1, 1, 1]}
113 {'product': [0, 14, 4], 'productlist': [1, 1, 1]}
114 {'product': [0, 17, 4], 'productlist': [1, 1, 1]}
115 {'product': [0, 9, 4], 'productlist': [0, 1, 1]}
116 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
117 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
118 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
119 {'product': [5, 5, 5], 'productlist': [1, 1, 1]}
120 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
121 {'product': [19, 19, 19], 'productlist': [1, 1, 1]}
122 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
123 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
124 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
125 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
126 {'product': [29, 29, 29], 'productlist': [1, 1, 1]}
127 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
128 {'product': [10, 10, 10], 'productlist': [1, 1, 1]}
129 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
130 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
131 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
132 {'product': [15, 15, 15], 'productlist': [1, 1, 1]}
133 {'product': [6, 6, 6], 'productlist': [1, 1, 1]}
134 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
135 {'product': [14, 14, 14], 'productlist': [1, 1, 1]}
136 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
137 {'product': [6, 6, 6], 'productlist': [1, 1, 1]}
138 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
139 {'product': [17, 17, 17], 'productlist': [1, 1, 1]}
140 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
141 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
142 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
143 {'product': [22, 22, 22], 'productlist': [1, 1, 1]}
144 {'product': [23, 23, 23], 'productlist': [1, 1, 1]}
145 {'product': [11, 11, 11], 'productlist': [1, 1, 1]}
146 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
147 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
148 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
149 {'product': [10, 10, 10], 'productlist': [1, 1, 1]}
150 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
151 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
152 {'product': [3, 3, 3], 'productlist': [1, 1, 1]}
153 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
154 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
155 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
156 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
157 {'product': [11, 11, 11], 'productlist': [1, 1, 1]}
158 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
159 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
160 {'product': [8, 8, 8], 'productlist': [1, 1, 1]}
161 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
162 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
163 {'product': [19, 19, 19], 'productlist': [1, 1, 1]}
164 {'product': [19, 19, 19], 'productlist': [1, 1, 1]}
165 {'product': [13, 13, 13], 'productlist': [1, 1, 1]}
166 {'product': [20, 20, 20], 'productlist': [1, 1, 1]}
167 {'product': [14, 14, 14], 'productlist': [1, 1, 1]}
168 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
169 {'product': [0, 1, 3], 'productlist': [0, 1, 1]}
170 {'product': [0, 2, 3], 'productlist': [0, 1, 1]}
171 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
172 {'product': [18, 18, 18], 'productlist': [1, 1, 1]}
173 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
174 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
175 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
176 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
177 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
178 {'product': [8, 8, 8], 'productlist': [1, 1, 1]}
179 {'product': [4, 4, 4], 'productlist': [1, 1, 1]}
