@relation out

@attribute 'fdc ' numeric
@attribute ' td_tr ' numeric
@attribute ' fdcl ' numeric
@attribute ' tr ' numeric
@attribute ' fr ' numeric
@attribute ' fc ' numeric
@attribute ' ftl ' numeric
@attribute ' fdr ' numeric
@attribute ' td ' numeric
@attribute ' fcl ' numeric
@attribute ' fclc ' numeric
@attribute ' class' {' table',' other'}

@data
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
